date,city,temperature_celsius,humidity_percent,precipitation_mm,weather_condition
2023-02-16,London,-1.0,66.5,1.7,Overcast
2023-02-17,London,-3.7,75.7,0.0,Foggy
2023-02-18,London,0.3,81.8,8.5,Rainy
2023-02-19,London,2.6,66.2,2.1,Cloudy
2023-02-20,London,4.1,72.3,0.0,Sunny
2023-02-21,London,-1.7,62.2,4.8,Cloudy
2023-02-22,London,1.8,91.9,2.7,Foggy
2023-02-23,London,6.4,82.5,6.4,Rainy
2023-02-24,London,-4.3,64.3,3.0,Cloudy
2023-02-25,London,-1.6,66.5,7.0,Rainy
2023-02-26,London,0.6,93.9,0.9,Overcast
2023-02-27,London,3.6,60.4,7.7,Snowy
2023-02-28,London,-4.3,94.5,2.9,Cloudy
2023-03-01,London,9.7,84.5,0.0,Foggy
2023-03-02,London,1.9,76.8,5.6,Snowy
2023-03-03,London,-0.6,71.2,9.9,Snowy
2023-03-04,London,4.5,68.7,5.2,Rainy
2023-03-05,London,5.7,88.6,7.7,Heavy Rain
2023-03-06,London,5.3,79.2,5.2,Snowy
2023-03-07,London,5.2,79.9,0.0,Foggy
2023-03-08,London,7.7,63.3,2.9,Sunny
2023-03-09,London,8.6,85.9,0.0,Foggy
2023-03-10,London,5.4,94.0,3.3,Foggy
2023-03-11,London,8.4,63.8,7.3,Snowy
2023-03-12,London,4.0,89.8,2.9,Snowy
2023-03-13,London,4.9,80.1,2.2,Snowy
2023-03-14,London,4.3,69.4,0.8,Rainy
2023-03-15,London,8.2,92.7,0.0,Foggy
2023-03-16,London,5.5,63.9,0.0,Foggy
2023-03-17,London,3.0,83.0,4.1,Cloudy
2023-03-18,London,6.1,82.9,11.2,Snowy
2023-03-19,London,-0.5,70.9,1.9,Sunny
2023-03-20,London,5.2,80.4,0.0,Rainy
2023-03-21,London,3.6,66.2,1.3,Foggy
2023-03-22,London,4.9,73.6,6.4,Snowy
2023-03-23,London,3.9,64.9,1.0,Rainy
2023-03-24,London,5.0,93.0,0.0,Overcast
2023-03-25,London,5.3,67.7,8.0,Rainy
2023-03-26,London,4.2,67.7,5.9,Heavy Rain
2023-03-27,London,2.3,88.5,9.1,Rainy
2023-03-28,London,4.2,63.6,0.0,Overcast
2023-03-29,London,5.4,66.3,0.0,Foggy
2023-03-30,London,2.3,66.6,0.0,Foggy
2023-03-31,London,6.3,66.2,10.9,Rainy
2023-04-01,London,6.4,60.3,0.7,Snowy
2023-04-02,London,7.7,95.0,0.6,Cloudy
2023-04-03,London,13.8,76.6,0.0,Cloudy
2023-04-04,London,11.8,60.7,1.1,Sunny
2023-04-05,London,19.2,86.1,4.7,Cloudy
2023-04-06,London,10.8,61.9,0.0,Overcast
2023-04-07,London,11.0,69.7,0.0,Overcast
2023-04-08,London,8.7,80.7,0.0,Snowy
2023-04-09,London,7.6,76.5,0.0,Overcast
2023-04-10,London,12.0,79.5,7.5,Rainy
2023-04-11,London,12.3,73.7,0.0,Cloudy
2023-04-12,London,10.5,62.4,9.1,Heavy Rain
2023-04-13,London,13.1,67.6,6.2,Snowy
2023-04-14,London,2.0,60.4,6.6,Rainy
2023-04-15,London,5.1,80.0,3.7,Cloudy
2023-04-16,London,6.4,69.1,4.9,Sunny
2023-04-17,London,12.7,71.2,0.0,Sunny
2023-04-18,London,5.4,63.8,0.0,Overcast
2023-04-19,London,7.5,86.4,6.0,Rainy
2023-04-20,London,14.4,75.7,0.0,Overcast
2023-04-21,London,14.0,62.2,0.0,Snowy
2023-04-22,London,6.3,63.6,5.0,Cloudy
2023-04-23,London,5.1,83.4,0.0,Overcast
2023-04-24,London,8.0,62.3,1.4,Foggy
2023-04-25,London,6.2,74.5,0.0,Overcast
2023-04-26,London,19.3,94.9,9.0,Snowy
2023-04-27,London,8.4,93.5,9.3,Rainy
2023-04-28,London,12.1,90.4,0.0,Overcast
2023-04-29,London,4.8,79.8,18.9,Heavy Rain
2023-04-30,London,15.4,83.1,0.6,Snowy
2023-05-01,London,7.8,90.6,0.0,Overcast
2023-05-02,London,11.1,91.6,7.0,Rainy
2023-05-03,London,15.8,69.6,1.2,Sunny
2023-05-04,London,10.9,85.0,0.0,Snowy
2023-05-05,London,21.5,72.3,3.7,Cloudy
2023-05-06,London,15.8,61.8,0.8,Overcast
2023-05-07,London,13.2,93.6,0.1,Overcast
2023-05-08,London,11.2,71.4,0.0,Snowy
2023-05-09,London,10.7,83.9,0.0,Snowy
2023-05-10,London,15.0,85.8,7.1,Snowy
2023-05-11,London,11.9,94.4,1.4,Overcast
2023-05-12,London,19.0,89.1,0.0,Sunny
2023-05-13,London,10.5,60.0,0.0,Foggy
2023-05-14,London,8.1,68.0,0.0,Sunny
2023-05-15,London,10.9,82.8,1.8,Rainy
2023-05-16,London,17.8,69.4,4.0,Foggy
2023-05-17,London,11.1,70.5,5.0,Sunny
2023-05-18,London,10.6,69.4,6.3,Snowy
2023-05-19,London,10.6,82.7,1.7,Sunny
2023-05-20,London,15.4,86.0,4.0,Foggy
2023-05-21,London,14.9,65.5,0.0,Snowy
2023-05-22,London,14.8,91.7,0.0,Foggy
2023-05-23,London,10.1,67.2,0.0,Snowy
2023-05-24,London,15.3,60.3,5.4,Rainy
2023-05-25,London,12.8,65.6,0.0,Rainy
2023-05-26,London,8.4,70.0,0.0,Rainy
2023-05-27,London,11.3,91.3,0.0,Cloudy
2023-05-28,London,13.4,63.6,1.2,Sunny
2023-05-29,London,11.0,68.4,0.0,Sunny
2023-05-30,London,14.9,75.8,7.4,Snowy
2023-05-31,London,14.6,90.7,7.1,Heavy Rain
2023-06-01,London,17.7,84.8,0.0,Partly Cloudy
2023-06-02,London,14.1,80.6,0.0,Sunny
2023-06-03,London,16.9,63.8,2.0,Rainy
2023-06-04,London,11.6,60.7,0.7,Overcast
2023-06-05,London,9.2,62.5,0.0,Rainy
2023-06-06,London,12.3,77.8,1.2,Cloudy
2023-06-07,London,16.7,84.9,11.1,Rainy
2023-06-08,London,17.8,66.4,3.0,Overcast
2023-06-09,London,18.7,81.7,0.0,Sunny
2023-06-10,London,10.6,67.9,5.3,Rainy
2023-06-11,London,6.8,85.0,0.4,Sunny
2023-06-12,London,13.2,70.6,3.6,Cloudy
2023-06-13,London,17.3,68.9,1.0,Foggy
2023-06-14,London,16.7,69.8,0.0,Sunny
2023-06-15,London,17.8,69.2,13.6,Rainy
2023-06-16,London,19.3,67.1,0.6,Rainy
2023-06-17,London,17.7,68.4,2.2,Snowy
2023-06-18,London,12.3,64.4,1.0,Snowy
2023-06-19,London,15.5,81.1,1.2,Overcast
2023-06-20,London,20.2,78.3,0.4,Overcast
2023-06-21,London,12.7,83.3,0.0,Snowy
2023-06-22,London,11.2,60.7,0.0,Sunny
2023-06-23,London,19.0,90.3,7.4,Snowy
2023-06-24,London,12.6,89.3,2.5,Sunny
2023-06-25,London,9.0,69.2,1.6,Overcast
2023-06-26,London,15.4,76.5,3.1,Foggy
2023-06-27,London,15.1,82.2,2.6,Cloudy
2023-06-28,London,13.3,92.8,0.0,Cloudy
2023-06-29,London,19.2,83.0,0.7,Rainy
2023-06-30,London,13.9,66.4,0.0,Cloudy
2023-07-01,London,9.1,61.1,14.2,Rainy
2023-07-02,London,16.0,66.9,0.0,Sunny
2023-07-03,London,14.6,64.6,7.9,Heavy Rain
2023-07-04,London,12.0,94.3,0.0,Foggy
2023-07-05,London,14.4,65.5,8.9,Heavy Rain
2023-07-06,London,10.4,94.5,0.0,Overcast
2023-07-07,London,8.8,93.2,8.6,Snowy
2023-07-08,London,9.8,92.8,3.7,Cloudy
2023-07-09,London,14.0,69.8,5.0,Rainy
2023-07-10,London,13.4,70.6,4.9,Snowy
2023-07-11,London,16.0,74.1,0.0,Sunny
2023-07-12,London,16.1,94.0,8.2,Snowy
2023-07-13,London,12.2,63.9,0.0,Cloudy
2023-07-14,London,13.1,70.9,0.0,Snowy
2023-07-15,London,12.5,60.3,7.9,Heavy Rain
2023-07-16,London,14.3,88.6,7.1,Rainy
2023-07-17,London,18.5,85.1,5.7,Heavy Rain
2023-07-18,London,14.5,89.5,0.8,Rainy
2023-07-19,London,17.1,89.2,4.5,Snowy
2023-07-20,London,13.5,80.6,0.0,Snowy
2023-07-21,London,18.1,67.1,0.0,Sunny
2023-07-22,London,16.6,87.2,6.2,Heavy Rain
2023-07-23,London,12.8,75.5,2.7,Rainy
2023-07-24,London,14.4,76.3,5.8,Rainy
2023-07-25,London,15.3,74.8,8.8,Heavy Rain
2023-07-26,London,15.0,80.9,3.7,Sunny
2023-07-27,London,13.5,69.7,8.2,Heavy Rain
2023-07-28,London,17.2,65.2,6.3,Rainy
2023-07-29,London,14.4,83.3,1.3,Cloudy
2023-07-30,London,12.2,71.9,3.2,Overcast
2023-07-31,London,14.5,79.6,0.0,Foggy
2023-08-01,London,8.2,62.6,2.3,Cloudy
2023-08-02,London,17.9,93.2,5.9,Rainy
2023-08-03,London,14.0,62.9,0.0,Sunny
2023-08-04,London,10.0,67.6,16.2,Rainy
2023-08-05,London,8.9,72.7,1.3,Cloudy
2023-08-06,London,11.3,81.0,0.0,Cloudy
2023-08-07,London,7.9,86.9,0.0,Overcast
2023-08-08,London,11.7,86.1,6.2,Heavy Rain
2023-08-09,London,9.7,74.7,1.6,Snowy
2023-08-10,London,6.2,82.4,1.6,Rainy
2023-08-11,London,9.2,63.5,0.0,Cloudy
2023-08-12,London,12.4,88.7,5.3,Snowy
2023-08-13,London,11.9,60.4,2.6,Foggy
2023-08-14,London,11.8,70.9,0.0,Sunny
2023-08-15,London,12.7,94.2,7.1,Heavy Rain
2023-08-16,London,9.9,85.8,0.0,Foggy
2023-08-17,London,7.8,79.7,2.0,Cloudy
2023-08-18,London,4.2,88.0,11.8,Heavy Rain
2023-08-19,London,15.4,80.3,4.5,Foggy
2023-08-20,London,9.2,83.0,0.0,Overcast
2023-08-21,London,8.4,64.7,3.1,Sunny
2023-08-22,London,13.6,63.6,0.0,Cloudy
2023-08-23,London,12.9,83.0,2.7,Rainy
2023-08-24,London,9.5,80.4,3.7,Snowy
2023-08-25,London,13.5,65.4,0.0,Overcast
2023-08-26,London,8.7,61.6,5.7,Rainy
2023-08-27,London,8.5,74.1,4.8,Cloudy
2023-08-28,London,9.5,75.2,2.8,Rainy
2023-08-29,London,15.1,81.2,3.9,Rainy
2023-08-30,London,7.5,80.2,0.0,Rainy
2023-08-31,London,12.1,90.9,2.6,Foggy
2023-09-01,London,4.7,77.3,5.4,Rainy
2023-09-02,London,7.6,87.7,0.0,Cloudy
2023-09-03,London,4.8,82.0,0.9,Overcast
2023-09-04,London,5.1,87.3,3.8,Rainy
2023-09-05,London,5.8,86.8,8.3,Heavy Rain
2023-09-06,London,8.2,68.9,0.0,Overcast
2023-09-07,London,2.0,90.5,0.0,Foggy
2023-09-08,London,7.2,69.5,1.2,Cloudy
2023-09-09,London,4.2,72.4,0.0,Snowy
2023-09-10,London,6.5,72.6,5.4,Heavy Rain
2023-09-11,London,3.2,83.8,6.5,Rainy
2023-09-12,London,4.3,85.0,4.9,Rainy
2023-09-13,London,6.0,82.2,1.9,Cloudy
2023-09-14,London,9.0,90.8,0.0,Foggy
2023-09-15,London,5.4,67.0,3.7,Snowy
2023-09-16,London,2.3,83.4,0.0,Cloudy
2023-09-17,London,5.7,60.6,1.7,Snowy
2023-09-18,London,3.8,87.3,5.1,Rainy
2023-09-19,London,5.5,75.8,3.0,Cloudy
2023-09-20,London,0.9,64.3,0.0,Snowy
2023-09-21,London,5.5,93.2,0.0,Cloudy
2023-09-22,London,3.9,80.2,0.7,Cloudy
2023-09-23,London,5.6,75.4,0.0,Snowy
2023-09-24,London,-3.0,73.9,6.2,Rainy
2023-09-25,London,2.7,81.6,0.0,Rainy
2023-09-26,London,4.9,68.5,0.0,Rainy
2023-09-27,London,5.3,90.7,0.0,Cloudy
2023-09-28,London,10.0,88.6,2.5,Cloudy
2023-09-29,London,2.7,64.5,3.0,Cloudy
2023-09-30,London,7.3,69.9,0.0,Cloudy
2023-10-01,London,-2.6,80.9,2.4,Overcast
2023-10-02,London,-0.1,77.9,2.5,Rainy
2023-10-03,London,-4.2,85.4,0.0,Rainy
2023-10-04,London,2.2,73.1,6.2,Rainy
2023-10-05,London,3.1,92.0,14.0,Snowy
2023-10-06,London,1.1,93.6,2.7,Overcast
2023-10-07,London,-0.9,90.2,0.5,Cloudy
2023-10-08,London,-1.1,94.4,1.6,Cloudy
2023-10-09,London,-0.5,83.4,0.0,Cloudy
2023-10-10,London,1.0,84.7,4.5,Snowy
2023-10-11,London,1.2,90.5,5.6,Heavy Rain
2023-10-12,London,-2.0,71.1,2.6,Foggy
2023-10-13,London,1.4,76.1,0.0,Cloudy
2023-10-14,London,-1.2,90.2,7.2,Heavy Rain
2023-10-15,London,-0.2,93.5,1.6,Cloudy
2023-10-16,London,-6.3,65.0,3.9,Overcast
2023-10-17,London,3.1,88.1,3.9,Snowy
2023-10-18,London,4.5,85.2,8.0,Heavy Rain
2023-10-19,London,0.2,73.1,0.0,Rainy
2023-10-20,London,-0.9,74.7,4.8,Cloudy
2023-10-21,London,4.1,75.3,0.0,Rainy
2023-10-22,London,-4.2,60.8,0.0,Overcast
2023-10-23,London,2.1,71.2,12.7,Rainy
2023-10-24,London,1.4,75.2,0.0,Cloudy
2023-10-25,London,-0.2,61.9,1.2,Snowy
2023-10-26,London,5.1,72.0,12.6,Snowy
2023-10-27,London,-7.3,65.9,5.5,Rainy
2023-10-28,London,-0.2,68.5,1.6,Overcast
2023-10-29,London,-4.5,83.7,0.0,Snowy
2023-10-30,London,-5.3,63.7,0.0,Rainy
2023-10-31,London,-0.7,79.2,10.0,Rainy
2023-11-01,London,-5.9,63.6,1.9,Foggy
2023-11-02,London,-5.5,92.6,4.0,Foggy
2023-11-03,London,-5.0,66.2,10.9,Snowy
2023-11-04,London,-5.7,91.0,0.0,Overcast
2023-11-05,London,-3.0,78.7,0.0,Cloudy
2023-11-06,London,-5.6,82.1,6.5,Heavy Rain
2023-11-07,London,-6.8,69.1,11.9,Snowy
2023-11-08,London,-1.9,88.5,18.2,Heavy Rain
2023-11-09,London,-2.9,66.8,0.6,Cloudy
2023-11-10,London,-6.3,78.2,9.5,Heavy Rain
2023-11-11,London,-2.8,89.5,8.3,Heavy Rain
2023-11-12,London,-7.3,87.9,0.0,Overcast
2023-11-13,London,-0.1,60.4,6.0,Heavy Rain
2023-11-14,London,-3.7,65.9,0.3,Sunny
2023-11-15,London,-6.4,81.1,4.5,Overcast
2023-11-16,London,-1.4,91.4,0.0,Cloudy
2023-11-17,London,1.0,87.7,7.7,Heavy Rain
2023-11-18,London,-2.4,60.8,1.7,Snowy
2023-11-19,London,-7.3,62.6,4.6,Snowy
2023-11-20,London,-2.7,82.2,0.0,Cloudy
2023-11-21,London,-4.8,62.4,6.0,Heavy Rain
2023-11-22,London,-5.6,71.4,1.5,Cloudy
2023-11-23,London,-2.4,79.1,0.0,Foggy
2023-11-24,London,-1.5,70.3,3.9,Sunny
2023-11-25,London,-4.7,85.2,4.0,Overcast
2023-11-26,London,-4.8,85.3,2.9,Rainy
2023-11-27,London,1.4,69.8,4.2,Cloudy
2023-11-28,London,-6.6,67.9,4.5,Rainy
2023-11-29,London,-6.3,81.0,4.4,Sunny
2023-11-30,London,-5.7,73.7,0.0,Sunny
2023-12-01,London,-6.4,88.6,0.9,Overcast
2023-12-02,London,-6.9,77.1,0.0,Overcast
2023-12-03,London,-3.0,75.1,1.8,Foggy
2023-12-04,London,-6.7,65.4,2.7,Cloudy
2023-12-05,London,-3.2,66.2,3.5,Foggy
2023-12-06,London,1.2,77.5,5.0,Foggy
2023-12-07,London,-3.2,89.6,0.0,Sunny
2023-12-08,London,2.0,67.3,0.3,Overcast
2023-12-09,London,-1.0,65.3,0.4,Foggy
2023-12-10,London,-7.7,85.6,12.3,Rainy
2023-12-11,London,-8.0,77.2,0.0,Rainy
2023-12-12,London,-7.1,72.9,0.0,Cloudy
2023-12-13,London,-2.9,80.4,0.0,Overcast
2023-12-14,London,-5.6,73.0,0.0,Snowy
2023-12-15,London,-1.4,65.6,0.0,Sunny
2023-12-16,London,-0.2,63.9,0.0,Rainy
2023-12-17,London,-2.9,72.7,3.5,Sunny
2023-12-18,London,-5.8,60.2,0.0,Rainy
2023-12-19,London,-5.7,82.5,0.0,Rainy
2023-12-20,London,-4.2,90.5,0.0,Foggy
2023-12-21,London,-7.9,91.0,6.3,Snowy
2023-12-22,London,-6.0,64.0,0.0,Overcast
2023-12-23,London,-6.9,82.8,0.0,Overcast
2023-12-24,London,-3.1,75.6,0.0,Rainy
2023-12-25,London,-3.0,65.0,0.0,Overcast
2023-12-26,London,-2.5,69.1,0.2,Cloudy
2023-12-27,London,-4.3,60.8,2.9,Snowy
2023-12-28,London,1.6,74.3,0.0,Overcast
2023-12-29,London,-3.1,80.1,3.5,Sunny
2023-12-30,London,-3.3,69.6,0.0,Foggy
2023-12-31,London,-1.9,93.6,1.5,Overcast
2023-01-01,Manchester,-2.1,92.1,0.0,Foggy
2023-01-02,Manchester,-4.6,79.4,7.3,Snowy
2023-01-03,Manchester,-2.7,89.6,3.2,Snowy
2023-01-04,Manchester,3.8,86.6,12.2,Snowy
2023-01-05,Manchester,-6.4,94.7,0.0,Foggy
2023-01-06,Manchester,-2.7,61.9,0.0,Cloudy
2023-01-07,Manchester,-7.5,80.0,5.5,Snowy
2023-01-08,Manchester,-4.4,94.0,1.3,Overcast
2023-01-09,Manchester,-1.7,87.4,8.6,Heavy Rain
2023-01-10,Manchester,-6.8,82.1,0.8,Foggy
2023-01-11,Manchester,3.2,76.8,9.4,Rainy
2023-01-12,Manchester,-6.3,80.9,0.4,Overcast
2023-01-13,Manchester,-5.7,87.7,0.0,Sunny
2023-01-14,Manchester,0.3,81.5,0.0,Rainy
2023-01-15,Manchester,-5.0,61.3,2.0,Snowy
2023-01-16,Manchester,0.4,84.6,6.5,Rainy
2023-01-17,Manchester,0.3,84.2,6.9,Rainy
2023-01-18,Manchester,-1.3,72.7,5.9,Snowy
2023-01-19,Manchester,-10.5,70.9,9.8,Snowy
2023-01-20,Manchester,-1.5,66.6,9.3,Heavy Rain
2023-01-21,Manchester,-5.2,83.0,0.0,Overcast
2023-01-22,Manchester,-3.5,68.8,3.7,Rainy
2023-01-23,Manchester,-4.3,91.1,7.0,Snowy
2023-01-24,Manchester,-2.9,69.0,3.8,Overcast
2023-01-25,Manchester,-4.2,71.6,0.7,Cloudy
2023-01-26,Manchester,-4.4,94.4,7.8,Heavy Rain
2023-01-27,Manchester,-2.7,73.3,4.4,Sunny
2023-01-28,Manchester,-0.1,83.5,10.7,Heavy Rain
2023-01-29,Manchester,-9.8,93.1,1.4,Overcast
2023-01-30,Manchester,-8.6,87.5,5.9,Heavy Rain
2023-01-31,Manchester,4.2,79.2,4.8,Rainy
2023-02-01,Manchester,-0.6,69.3,6.6,Snowy
2023-02-02,Manchester,-1.7,90.5,0.2,Cloudy
2023-02-03,Manchester,1.5,77.1,0.0,Foggy
2023-02-04,Manchester,-2.5,81.3,6.6,Heavy Rain
2023-02-05,Manchester,-2.6,71.6,1.2,Foggy
2023-02-06,Manchester,3.9,91.0,0.7,Overcast
2023-02-07,Manchester,0.0,77.4,0.0,Rainy
2023-02-08,Manchester,3.2,90.6,0.0,Overcast
2023-02-09,Manchester,-0.1,80.9,0.0,Rainy
2023-02-10,Manchester,0.4,63.8,3.1,Cloudy
2023-02-11,Manchester,-3.5,64.2,3.0,Overcast
2023-02-12,Manchester,-1.5,72.1,2.3,Cloudy
2023-02-13,Manchester,-2.7,85.2,1.9,Overcast
2023-02-14,Manchester,-3.0,87.9,0.0,Sunny
2023-02-15,Manchester,-2.9,62.6,0.0,Rainy
2023-02-16,Manchester,-1.3,73.8,0.0,Sunny
2023-02-17,Manchester,-2.3,92.7,0.0,Cloudy
2023-02-18,Manchester,1.9,62.8,7.3,Snowy
2023-02-19,Manchester,-2.7,87.4,12.4,Rainy
2023-02-20,Manchester,2.2,78.8,0.0,Rainy
2023-02-21,Manchester,-1.9,64.8,0.0,Foggy
2023-02-22,Manchester,6.6,84.2,6.2,Snowy
2023-02-23,Manchester,3.3,82.5,10.0,Snowy
2023-02-24,Manchester,3.5,71.3,11.6,Snowy
2023-02-25,Manchester,7.9,75.2,0.0,Cloudy
2023-02-26,Manchester,3.9,82.3,8.3,Rainy
2023-02-27,Manchester,4.1,86.4,1.4,Sunny
2023-02-28,Manchester,2.4,70.7,8.2,Heavy Rain
2023-03-01,Manchester,-0.1,66.6,2.3,Snowy
2023-03-02,Manchester,2.9,93.8,5.2,Snowy
2023-03-03,Manchester,-1.7,60.5,2.4,Sunny
2023-03-04,Manchester,3.9,75.1,6.8,Heavy Rain
2023-03-05,Manchester,3.0,82.2,1.1,Rainy
2023-03-06,Manchester,2.0,83.9,0.0,Rainy
2023-03-07,Manchester,6.8,90.6,0.0,Overcast
2023-03-08,Manchester,3.9,65.5,8.2,Snowy
2023-03-09,Manchester,7.8,63.1,10.0,Rainy
2023-03-10,Manchester,2.9,72.7,0.0,Snowy
2023-03-11,Manchester,6.3,84.3,0.0,Overcast
2023-03-12,Manchester,1.3,60.9,2.5,Foggy
2023-03-13,Manchester,10.2,73.0,8.8,Heavy Rain
2023-03-14,Manchester,5.4,73.0,3.5,Foggy
2023-03-15,Manchester,10.2,73.7,0.0,Cloudy
2023-03-16,Manchester,-0.7,64.6,8.1,Snowy
2023-03-17,Manchester,4.6,63.8,0.0,Foggy
2023-03-18,Manchester,7.8,84.5,4.9,Overcast
2023-03-19,Manchester,6.3,81.0,2.9,Snowy
2023-03-20,Manchester,3.8,93.5,0.6,Overcast
2023-03-21,Manchester,3.6,92.6,2.8,Overcast
2023-03-22,Manchester,4.5,73.6,0.0,Overcast
2023-03-23,Manchester,8.9,86.4,0.4,Sunny
2023-03-24,Manchester,9.2,81.2,1.1,Rainy
2023-03-25,Manchester,9.3,72.5,1.6,Snowy
2023-03-26,Manchester,8.8,92.5,10.4,Heavy Rain
2023-03-27,Manchester,1.3,89.9,12.2,Snowy
2023-03-28,Manchester,4.0,79.1,2.4,Cloudy
2023-03-29,Manchester,3.6,89.7,9.7,Snowy
2023-03-30,Manchester,8.6,76.4,1.3,Cloudy
2023-03-31,Manchester,7.3,92.1,0.0,Cloudy
2023-04-01,Manchester,13.7,92.6,1.2,Overcast
2023-04-02,Manchester,12.1,94.5,8.0,Rainy
2023-04-03,Manchester,11.2,83.9,8.1,Rainy
2023-04-04,Manchester,10.2,88.2,7.2,Snowy
2023-04-05,Manchester,6.9,85.5,6.6,Snowy
2023-04-06,Manchester,5.7,84.2,0.0,Rainy
2023-04-07,Manchester,9.9,84.0,0.2,Snowy
2023-04-08,Manchester,9.6,77.1,0.0,Overcast
2023-04-09,Manchester,11.5,63.5,6.0,Heavy Rain
2023-04-10,Manchester,10.2,82.7,0.0,Foggy
2023-04-11,Manchester,8.2,74.7,3.9,Overcast
2023-04-12,Manchester,6.6,70.5,2.1,Foggy
2023-04-13,Manchester,13.0,73.3,3.5,Foggy
2023-04-14,Manchester,10.1,89.0,4.9,Snowy
2023-04-15,Manchester,14.5,84.7,2.7,Snowy
2023-04-16,Manchester,6.3,79.4,4.4,Snowy
2023-04-17,Manchester,6.1,92.2,2.9,Foggy
2023-04-18,Manchester,10.5,90.1,5.5,Heavy Rain
2023-04-19,Manchester,13.3,82.7,0.0,Cloudy
2023-04-20,Manchester,9.5,64.8,0.0,Sunny
2023-04-21,Manchester,13.3,79.9,0.0,Rainy
2023-04-22,Manchester,10.4,81.9,4.7,Sunny
2023-04-23,Manchester,8.3,66.2,8.9,Rainy
2023-04-24,Manchester,9.5,61.1,0.0,Sunny
2023-04-25,Manchester,11.4,63.6,3.6,Rainy
2023-04-26,Manchester,14.1,71.2,0.0,Foggy
2023-04-27,Manchester,9.0,87.2,0.0,Rainy
2023-04-28,Manchester,15.2,60.2,0.0,Sunny
2023-04-29,Manchester,6.2,61.7,1.5,Snowy
2023-04-30,Manchester,10.7,85.2,2.5,Snowy
2023-05-01,Manchester,11.2,63.1,6.4,Heavy Rain
2023-05-02,Manchester,10.5,92.9,0.0,Overcast
2023-05-03,Manchester,17.6,76.5,3.8,Rainy
2023-05-04,Manchester,14.6,70.1,3.3,Cloudy
2023-05-05,Manchester,16.2,64.5,0.0,Partly Cloudy
2023-05-06,Manchester,14.4,70.8,0.0,Foggy
2023-05-07,Manchester,14.0,63.3,9.4,Rainy
2023-05-08,Manchester,10.5,91.8,8.7,Rainy
2023-05-09,Manchester,8.6,70.4,3.7,Overcast
2023-05-10,Manchester,15.2,87.2,0.7,Rainy
2023-05-11,Manchester,14.3,76.4,0.8,Foggy
2023-05-12,Manchester,16.0,84.4,6.7,Rainy
2023-05-13,Manchester,11.0,92.0,0.0,Overcast
2023-05-14,Manchester,14.4,76.4,5.7,Snowy
2023-05-15,Manchester,21.5,83.5,5.7,Snowy
2023-05-16,Manchester,6.3,84.7,3.4,Overcast
2023-05-17,Manchester,16.7,89.6,2.7,Overcast
2023-05-18,Manchester,9.5,84.9,3.1,Foggy
2023-05-19,Manchester,16.6,93.0,0.0,Overcast
2023-05-20,Manchester,11.1,86.5,10.2,Snowy
